START | True_ NONE
MBShop | True_ NONE
DVEntry | Has RealmAccessRule Dragon Village
DVGnastyCave | Has BossLairRule 0
DVDoubleJump | Has Double Jump
DVGlide | Has Glide
DVCharge | Has Charge
CSEntry | True_ NONE
CSPoleSpin | Has Pole Spin
DFEntry | Has BallGadget
DFLGDoor | Has LGDoorRule 0
CREntry | Has RealmAccessRule Coastal Remains
CRDoubleJump | Has Double Jump
CRLGDoor | Has LGDoorRule 1
CRGlide | Has Glide
CRPoleSpin | Has Double Jump, Has Pole Spin | And
CRWateryTomb | Has BossLairRule 1
CDEntry | True_ NONE
CDCharge | Has Charge
CDWingShield | Has Wing Shield
CDBallGadget | Has BallGadget
SREntry | True_ NONE
SRSwim | Has Swim
SRWallKick | Has InvincibilityGadget, Has Wall Kick | And
SRElectric | Has Electric Breath
SRInvincibility | Has InvincibilityGadget
SRGlide | Has Glide
FVEntry | Has RealmAccessRule Frostbite Village
FVElectric | Has Electric Breath
FVDoubleJump | Has Double Jump
FVWallKick | Has Wall Kick
FVRedChamber | Has BossLairRule 2
GGEntry | True_ NONE
ICEntry | True_ NONE
ICWater | Has Water Breath
ICWallKick | Has Wall Kick
ICBehindQueen | Has Pole Spin, Has Electric Breath, Has Glide | And
ICReturnToFV | True_ NONE
FVEntry2 | True_ NONE
FVEastPoles | Has Pole Spin
FVLGDoorEntry | Has LGDoorRule 2
FVLGDoorGlide | Has Pole Spin, Has Glide | And
SBEntry | Has RealmAccessRule Stormy Beach
SBDoubleJump | Has Double Jump
SBUpperCave | Has Wall Kick, Has Glide | And
MMEntry | Has Glide
MMWaterIce | Has Water Breath, Has Ice Breath | And
MMPoleSpin | Has Pole Spin
MFtEntry | Has Wall Kick
MFBallGadget | Has BallGadget
MFbEntry | True_ NONE
DMEntry | True_ NONE
DMLGDoor | Has LGDoorRule 3
DMCharge | Has Charge
DMElectric | Has Electric Breath
DMIce | Has Ice Breath
RLEntry | True_ NONE
RLSouthEast | True_ NONE
RLNorthWest | True_ NONE
RLNorthEast | True_ NONE
RLSouthWest | True_ NONE
RLMechaRed | Has BossLairRule 3
