START -> DVEntry | RealmAccessRule('Dragon Kingdom Access Card')
ShopPads -> DVEntry | OpenWorldRule(['Dragon Village - Village Depot'])
DVTunnelToCroc -> DVEntry | True_()
DFBallGadget -> DVEntry | True_()
DVEntry -> ShopPads | True_()
DVEntry -> DVGnastyCave | BossLairRule(0)
DVEntry -> DVByrdLower | Has('Double Jump')
DVByrdLower -> DVByrdUpper | Has('Charge')
DVByrdLower -> DVLabSecret | Has('Charge')
DVEntry -> DVHunterPreGlide | Has('Double Jump')
DVHunterPreGlide -> DVHunterPostGlide | Has('Glide')
DVHunterPostGlide -> DVOutsideBallGadget | True_()
DFBallGadget -> DVOutsideBallGadget | True_()
CSPyramidAndTemple -> DVTunnelToCroc | Has('Double Jump')
DVEntry -> CSPyramidAndTemple | Has('Double Jump')
CSEast -> CSPyramidAndTemple | Has('Double Jump')
CSFredneck -> CSPyramidAndTemple | Has('Glide')
ShopPads -> CSPyramidAndTemple | OpenWorldRule(['Crocovile Swamp - Perilous Pyramid', 'Crocovile Swamp - Forgotten Temple'])
CSPyramidAndTemple -> ShopPads | True_()
CSPyramidAndTemple -> CSWest | Has('Double Jump')
CSPyramidAndTemple -> CSInsideTemple | Has('Double Jump')
CSInsideTemple -> CSInsideTempleElectric | Has('Electric Breath')
CSPyramidAndTemple -> CSEast | True_()
CSTree -> CSEast | Has('Double Jump')
CSEast -> CSEastPoles | HasAll('Double Jump', 'Pole Spin')
CSEast -> CSTree | Has('Double Jump')
ShopPads -> CSTree | OpenWorldRule(['Crocovile Swamp - Elder\'s Tree'])
CSTree -> ShopPads | True_()
CSTree -> CSAboveElder | HasAll('Double Jump', 'Pole Spin')
CSTree -> CSFredneck | HasAll('Double Jump', 'Pole Spin')
DVOutsideBallGadget -> DFBallGadget | BallGadget()
DFEntry -> DFBallGadget | BallGadget()
DFBallGadget -> DFEntry | True_()
DFSteepCanyon -> DFEntry | True_()
DFEntry -> DFSteepCanyon | Has('Double Jump')
DFCove -> DFSteepCanyon | True_()
ShopPads -> DFSteepCanyon | OpenWorldRule(['Dragonfly Falls - Steep Canyon'])
DFSteepCanyon -> ShopPads | True_()
DFSteepCanyon -> DFAfterVultures | HasAll('Double Jump', 'Glide')
DFLGDoorEntry -> DFAfterVultures | And(HasAll('Double Jump', 'Glide'), LGDoorRule(0))
DFAfterVultures -> DFLGDoorEntry | LGDoorRule(0)
DFLGDoorShop -> DFLGDoorEntry | True_()
DFLGDoorEntry -> DFLGDoorShop | HasAll('Double Jump', 'Glide')
ShopPads -> DFLGDoorShop | OpenWorldRule(['Dragonfly Falls - Secret Area'])
DFLGDoorShop -> ShopPads | True_()
DFAfterVultures -> DFElderStatue | True_()
DFElderStatue -> DFCoveShop | True_()
ShopPads -> DFCoveShop | OpenWorldRule(['Dragonfly Falls - Tropical Cove'])
DFCoveAboveShop -> DFCoveShop | True_()
DFCoveShop -> ShopPads | True_()
DFElderStatue -> DFCoveAboveShop | True_()
DFCoveShop -> DFCoveAboveShop | Has('Wall Kick')
DFElderStatue -> DFCove | True_()
DFCoveShop -> DFCove | HasAll('Double Jump', 'Glide')
DFCove -> DFHunter | True_()
START -> CREntry | RealmAccessRule('Lost Cities Access Card')
ShopPads -> CREntry | OpenWorldRule(['Coastal Remains - Coastal Depot'])
CREntry -> ShopPads | True_()
CRWindmills -> CREntry | True_()
CROttoPool -> CREntry | Has('Double Jump')
CREntry -> CRWateryTomb | BossLairRule(1)
CREntry -> CRPiranhas | Has('Double Jump')
CREntry -> CRLGDoor | LGDoorRule(1)
CREntry -> CRCannon | True_()
CREntry -> CRWindmills | Has('Double Jump')
CRCloudyElevator -> CRWindmills | HasAll('Double Jump', 'Glide')
CRWindmills -> CRCloudyElevator | Has('Glide')
ShopPads -> CRCloudyElevator | OpenWorldRule(['Coastal Remains - Domain Doorstep'])
CRCloudyElevator -> ShopPads | True_()
CDEntry -> CRCloudyElevator | True_()
CREntry -> CROttoPool | True_()
CRWest -> CROttoPool | Has('Double Jump')
CROttoPool -> CRWest | HasAll('Double Jump', 'Pole Spin')
ShopPads -> CRWest | OpenWorldRule(['Coastal Remains - Waterfall Walkway'])
CRWest -> ShopPads | True_()
CRCloudyElevator -> CDEntry | True_()
ShopPads -> CDEntry | OpenWorldRule(['Cloudy Domain - Elevator Top'])
CDEntry -> ShopPads | True_()
CDSouthWest -> CDEntry | True_()
CDBallGadget -> CDEntry | True_()
CDEntry -> CDCenter | Has('Double Jump')
CDOutsideElder -> CDCenter | Has('Double Jump')
CDCenter -> CDOutsideElder | True_()
ShopPads -> CDOutsideElder | OpenWorldRule(['Cloudy Domain - Elder\'s Homestead'])
CDOutsideElder -> ShopPads | True_()
CDOutsideElder -> CDInsideElder | Has('Charge')
CDInsideElder -> CDNorthEast | HasAll('Double Jump', 'Glide', 'Wing Shield')
CDEntry -> CDNorthWest | HasAll('Charge', 'Double Jump', 'Glide')
CDEntry -> CDSouthWest | HasAll('Charge', 'Double Jump', 'Wing Shield', 'Glide')
CDEndlessPlatforms -> CDSouthWest | Has('Wing Shield')
CDSouthWest -> CDEndlessPlatforms | True_()
CDTallestTowerLower -> CDEndlessPlatforms | HasAll('Double Jump', 'Glide')
CDEndlessPlatforms -> CDTallestTowerLower | True_()
ShopPads -> CDTallestTowerLower | OpenWorldRule(['Cloudy Domain - Tallest Tower'])
CDTallestTowerLower -> ShopPads | True_()
CDTallestTowerLower -> CDTallestTowerUpper | Has('Glide')
CDTallestTowerUpper -> CDBallGadget | And(Has('Double Jump'), BallGadget())
CRWest -> SREntry | Has('Double Jump')
ShopPads -> SREntry | OpenWorldRule(['Sunken Ruins - Atlantian Entryway'])
SREntry -> ShopPads | True_()
SRReturnToStart -> SREntry | True_()
SRSwim1 -> SREntry | True_()
SREntry -> SRSwim1 | Has('Swim')
SRSwim2 -> SRSwim1 | True_()
SRSwim1 -> SRSwim2 | True_()
SRAfterSwim2 -> SRSwim2 | Has('Swim')
SRSwim2 -> SRAfterSwim2 | True_()
SRDepthsEntry -> SRAfterSwim2 | HasAll('Double Jump', 'Glide')
SRAfterSwim2 -> SRDepthsEntry | True_()
ShopPads -> SRDepthsEntry | OpenWorldRule(['Sunken Ruins - The Depths'])
SRDepthsEntry -> ShopPads | True_()
SRDepthsEntry -> SRDepthsUpper | And(Has('Wall Kick'), InvincibilityGadget())
SRDepthsEntry -> SRDepthsLower | True_()
SRDepthsLower -> SRToxicSwim1 | HasAll('Electric Breath', 'Double Jump')
SRToxicSwim1 -> SRToxicSwim2 | And(HasAll('Swim', 'Charge'), InvincibilityGadget())
SRToxicSwim2 -> SRToxicSwimAbove | HasAll('Double Jump', 'Glide', 'Pole Spin')
SRToxicSwimAbove -> SRToxicRise | True_()
ShopPads -> SRToxicRise | OpenWorldRule(['Sunken Ruins - Toxic Rise'])
SRToxicRise -> ShopPads | True_()
SRToxicRise -> SRReturnToStart | HasAll('Electric Breath', 'Double Jump', 'Glide', 'Pole Spin')
START -> FVEntry1 | RealmAccessRule('Icy Wilderness Access Card')
ShopPads -> FVEntry1 | OpenWorldRule(['Frostbite Village - Frosty Depot'])
FVEntry1 -> ShopPads | True_()
FVReturnFromIC -> FVEntry1 | True_()
FVEntry1 -> FVRedChamber | And(Has('Double Jump'), BossLairRule(2))
FVEntry1 -> FVElectricGate | Has('Electric Breath')
FVEntry1 -> FVHeadingToCamp | Has('Double Jump')
FVHeadingToCamp -> FVIcyCamp | True_()
ShopPads -> FVIcyCamp | OpenWorldRule(['Frostbite Village - Icy Camp'])
FVIcyCamp -> ShopPads | True_()
FVIcyCamp -> FVIcyCampUpper | HasAll('Wall Kick', 'Double Jump')
ICDrawbridge -> FVReturnFromIC | And(Has('Double Jump'), SuperchargeGadget())
FVReturnFromIC -> FVEntry2 | True_()
ShopPads -> FVEntry2 | OpenWorldRule(['Frostbite Village - Eskimole Village'])
FVEntry2 -> ShopPads | True_()
FVEntry2 -> FVLGDoorEntry | And(Has('Wall Kick'), LGDoorRule(2))
FVLGDoorEntry -> FVLGDoorDJ | Has('Double Jump')
FVLGDoorDJ -> FVLGDoorGlide | HasAll('Pole Spin', 'Glide')
FVEntry2 -> FVEast | Has('Double Jump')
FVIcyCamp -> GGFullLevel | Has('Double Jump')
GGFullLevel -> ICCourtyardLower | True_()
ShopPads -> ICCourtyardLower | OpenWorldRule(['Ice Citadel - Cool Courtyard'])
ICCourtyardLower -> ShopPads | True_()
ICCourtyardLower -> ICCourtyardUpper | Has('Double Jump')
ICCourtyardUpper -> ICPastWaterGate | Has('Water Breath')
ICPastWaterGate -> ICElderRoom | And(HasAll('Double Jump', 'Water Breath', 'Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
ICElderRoom -> ICSuperchargeShop | Has('Wall Kick')
ShopPads -> ICSuperchargeShop | OpenWorldRule(['Ice Citadel - Supercharge Central'])
ICSuperchargeShop -> ShopPads | True_()
ICSuperchargeShop -> ICUseSupercharge | SuperchargeGadget()
ICUseSupercharge -> ICDrawbridge | Has('Double Jump')
ShopPads -> ICDrawbridge | OpenWorldRule(['Ice Citadel - Drawbridge Drop-off'])
ICDrawbridge -> ShopPads | True_()
ICSuperchargeShop -> ICRoyal | And(Has('Double Jump'), Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge')))
ShopPads -> ICRoyal | OpenWorldRule(['Ice Citadel - Royal Chamber'])
ICRoyal -> ShopPads | True_()
ICRoyal -> ICRoyalBack | HasAll('Pole Spin', 'Electric Breath', 'Double Jump', 'Glide')
ICRoyal -> ICRoyalCannon | Has('Double Jump')
ICRoyalCannon -> ICRoyalToCourtyard | Has('Fire Breath')
START -> SBEntryLower | RealmAccessRule('Volcanic Isle Access Card')
SBShop -> SBEntryLower | True_()
ShopPads -> SBShop | OpenWorldRule(['Stormy Beach - Stormy Depot'])
SBShop -> ShopPads | True_()
SBEntryLower -> SBShop | Has('Double Jump')
SBEntryLower -> SBEntryUpper | Has('Double Jump')
SBEntryUpper -> SBCaveUpper | HasAll('Wall Kick', 'Glide')
SBEntryUpper -> MMEntryUpper | Has('Glide')
MMEntryUpper -> MMEntryLower | True_()
MMVillage -> MMEntryLower | And(HasAll('Double Jump', 'Glide'), HasAny('Water Breath', 'Ice Breath'))
MMEntryLower -> MMVillage | HasAny('Water Breath', 'Ice Breath')
MMPostVillage -> MMVillage | True_()
ShopPads -> MMVillage | OpenWorldRule(['Molten Mount - Destroyed Village'])
MMVillage -> ShopPads | True_()
MMVillage -> MMVillageImps | And(Has('Double Jump'), HasAny('Water Breath', 'Ice Breath'))
MMVillage -> MMPostVillage | HasAny('Water Breath', 'Ice Breath')
MMAfterPoles -> MMPostVillage | True_()
MMPostVillage -> MMAfterPoles | HasAll('Double Jump', 'Pole Spin', 'Glide')
MMBridgeEntry -> MMAfterPoles | True_()
MMAfterPoles -> MMBridgeEntry | True_()
MMBridge -> MMBridgeEntry | And(Has('Double Jump'), HasAny('Water Breath', 'Ice Breath'))
MMBridgeEntry -> MMBridge | True_()
MMPostBridge -> MMBridge | True_()
ShopPads -> MMBridge | OpenWorldRule(['Molten Mount - Collapsed Bridge'])
MMBridge -> ShopPads | True_()
MMBridge -> MMBridgePoles | HasAll('Double Jump', 'Pole Spin')
MMBridge -> MMPostBridge | And(Has('Double Jump'), HasAny('Water Breath', 'Ice Breath'))
MMLumber -> MMPostBridge | And(Has('Double Jump'), HasAny('Water Breath', 'Ice Breath'))
MMPostBridge -> MMLumberEntry | True_()
MMLumber -> MMLumberEntry | Has('Double Jump')
MMLumberEntry -> MMNorth | And(Has('Glide'), HasAny('Water Breath', 'Ice Breath'))
MMLumberEntry -> MMLumber | True_()
ShopPads -> MMLumber | OpenWorldRule(['Molten Mount - Lumber Storage'])
MMLumber -> ShopPads | True_()
MMPostLumber -> MMLumber | Has('Double Jump')
MMLumber -> MMPostLumber | Has('Double Jump')
MFtEntry -> MMPostLumber | Has('Double Jump')
MMPostLumber -> MMNorthEast | HasAny('Water Breath', 'Ice Breath')
MMPostLumber -> MFtEntry | Has('Wall Kick')
MFtCenter -> MFtEntry | True_()
MFtEntry -> MFtCenter | And(Has('Charge'), HasAny('Water Breath', 'Ice Breath'))
MFtSouth -> MFtCenter | HasAny('Water Breath', 'Ice Breath')
MFtBallGadgetEntry -> MFtCenter | HasAny('Water Breath', 'Ice Breath')
MFtCenter -> MFtSouth | Has('Double Jump')
ShopPads -> MFtSouth | OpenWorldRule(['Magma Falls - Crackling Cave'])
MFtSouth -> ShopPads | True_()
MFtSouth -> MFtWallKickLower | HasAny('Water Breath', 'Ice Breath')
MFtWallKickLower -> MFtWallKickUpper | Has('Wall Kick')
MFtCenter -> MFtBallGadgetEntry | Has('Double Jump')
MFBallGadget -> MFtBallGadgetEntry | True_()
MFtBallGadgetEntry -> MFBallGadget | BallGadget()
MFbEntry -> MFBallGadget | BallGadget()
MFBallGadget -> MFbEntry | True_()
ShopPads -> MFbEntry | OpenWorldRule(['Magma Falls - Chains of Lava'])
MFbEntry -> ShopPads | True_()
MFbSouthEast -> MFbEntry | Has('Glide')
MFbEntry -> MFbSouthEast | And(HasAll('Double Jump', 'Wall Kick'), HasAny('Water Breath', 'Ice Breath'))
MFbBeforeImpRoom -> MFbSouthEast | Has('Double Jump')
MFbSouthEast -> MFbBeforeImpRoom | True_()
MFbImpRoom -> MFbBeforeImpRoom | HasAny('Water Breath', 'Ice Breath')
MFbSouthEast -> MFbImpRoom | True_()
MFbSparxShop -> MFbImpRoom | True_()
MFbImpRoom -> MFbSparxShop | True_()
ShopPads -> MFbSparxShop | OpenWorldRule(['Magma Falls - Sparx Can Fly'])
MFbSparxShop -> ShopPads | True_()
DMEntry -> MFbSparxShop | Has('Double Jump')
MFbSparxShop -> DMEntry | Has('Double Jump')
ShopPads -> DMEntry | OpenWorldRule(['Dark Mine - Mine Mouth', 'Dark Mine - Hidden Depths'])
DMEntry -> ShopPads | True_()
DMEntry -> DMLGDoor | LGDoorRule(3)
DMEntry -> DMAfterRocks | HasAll('Double Jump', 'Charge')
DMAfterRocks -> DMCaged | Has('Electric Breath')
DMCaged -> DMAfterCaged | True_()
DMBeforeIcePoles -> DMAfterCaged | Has('Wall Kick')
DMAfterCaged -> DMBeforeIcePoles | True_()
DMSeeSaw -> DMBeforeIcePoles | Has('Glide')
DMBeforeIcePoles -> DMSeeSaw | HasAll('Ice Breath', 'Pole Spin', 'Glide')
DMSeeSawShop -> DMSeeSaw | Has('Double Jump')
DMSeeSaw -> DMSeeSawShop | True_()
ShopPads -> DMSeeSawShop | OpenWorldRule(['Dark Mine - Miner\'s Drop'])
DMSeeSawShop -> ShopPads | True_()
DMSeeSaw -> DMGreenPoles | And(HasAll('Wall Kick', 'Pole Spin', 'Glide'), Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge')))
DMGreenPoles -> RLEntry | True_()
RLEntry -> RLCenter | True_()
ShopPads -> RLCenter | OpenWorldRule(['Red\'s Laboratory - Celestial Show'])
RLCenter -> ShopPads | True_()
RLCenter -> RLSouthWest | True_()
RLSouthWest -> RLMechaRed | BossLairRule(3)
RLCenter -> RLNorthEast1 | Or(Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
RLNorthEast1 -> RLNorthEast2 | Has('Electric Breath')
