START | True_()
MBShop | True_()
DVEntry | Has('Dragon Kingdom Access Card')
DVGnastyCave | BossLairRule(0)
DVDoubleJump | Has('Double Jump')
DVGlide | Has('Glide')
DVCharge | Has('Charge')
CSEntry | True_()
CSPoleSpin | Has('Pole Spin')
DFEntry | BallGadget()
DFLGDoor | LGDoorRule(0)
CREntry | Has('Lost Cities Access Card')
CRDoubleJump | Has('Double Jump')
CRLGDoor | LGDoorRule(1)
CRGlide | Has('Glide')
CRPoleSpin | HasAll('Double Jump', 'Pole Spin')
CRWateryTomb | BossLairRule(1)
CDEntry | True_()
CDCharge | Has('Charge')
CDWingShield | Has('Wing Shield')
CDBallGadget | BallGadget()
SREntry | True_()
SRSwim | Has('Swim')
SRWallKick | And(InvincibilityGadget(), Has('Wall Kick'))
SRElectric | Has('Electric Breath')
SRInvincibility | InvincibilityGadget()
SRGlide | Has('Glide')
FVEntry | Has('Icy Wilderness Access Card')
FVElectric | Has('Electric Breath')
FVDoubleJump | Has('Double Jump')
FVWallKick | Has('Wall Kick')
FVRedChamber | BossLairRule(2)
GGEntry | True_()
ICEntry | True_()
ICWater | Has('Water Breath')
ICWallKick | Has('Wall Kick')
ICBehindQueen | HasAll('Pole Spin', 'Electric Breath', 'Glide')
ICReturnToFV | SuperchargeGadget()
FVEntry2 | True_()
FVEastPoles | Has('Pole Spin')
FVLGDoorEntry | LGDoorRule(2)
FVLGDoorGlide | HasAll('Pole Spin', 'Glide')
SBEntry | Has('Volcanic Isle Access Card')
SBDoubleJump | Has('Double Jump')
SBUpperCave | HasAll('Wall Kick', 'Glide')
MMEntry | Has('Glide')
MMWaterIce | HasAll('Water Breath', 'Ice Breath')
MMPoleSpin | Has('Pole Spin')
MFtEntry | Has('Wall Kick')
MFBallGadget | BallGadget()
MFbEntry | True_()
DMEntry | True_()
DMLGDoor | LGDoorRule(3)
DMCharge | Has('Charge')
DMElectric | Has('Electric Breath')
DMIce | Has('Ice Breath')
RLEntry | True_()
RLSouthEast | True_()
RLNorthWest | True_()
RLNorthEast | True_()
RLSouthWest | True_()
RLMechaRed | BossLairRule(3)
