DVEntry | 336 Gems (on the ground) | True_()
DVEntry | 300 Gems (dark shards) | HasAny('Double Jump', 'Charge')
DVEntry | 100 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DVEntry | 175 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
DVEntry | 150 Gems (baskets behind chargeable wall near elder) | Has('Charge')
DVEntry | 500 Gems (armored chest via firework across bridge) | HasAll('Double Jump', 'Fire Breath')
DVByrdLower | 396 Gems (baskets/chests/dark shards/on the ground) | True_()
DVByrdLower | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DVByrdLower | 395 Gems (Byrd minigames 1-1) | True_()
DVByrdLower | 360 Gems (Byrd minigames 1-2) | True_()
DVByrdUpper | 500 Gems (armored chest via firework) | Has('Fire Breath')
DVLabSecret | 335 Gems (baskets/headbash chest + rock/metal chest) | True_()
DVLabSecret | 40 Gems ([enemy] archer gnorcs) | True_()
DVTunnelToCroc | 215 Gems (on the ground/baskets/headbash chest) | True_()
DVHunterPreGlide | 286 Gems (on the ground/baskets/chests) | True_()
DVHunterPreGlide | 20 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DVHunterPreGlide | 500 Gems (armored chest via firework) | HasAll('Glide', 'Fire Breath')
DVHunterPostGlide | 451 Gems (chests/baskets/on the ground) | True_()
DVHunterPostGlide | 20 Gems ([enemy] unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DVHunterPostGlide | 40 Gems ([enemy] unarmored huge gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DVHunterPostGlide | 20 Gems ([enemy] armored huge gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DVOutsideBallGadget | 500 Gems (armored chest via firework) | Has('Fire Breath')
DVOutsideBallGadget | 40 Gems ([enemy] armored huge gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DVOutsideBallGadget | 75 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
DVOutsideBallGadget | 24 Gems (on the ground) | True_()
CSPyramidAndTemple | 50 Gems (dark shards) | HasAny('Double Jump', 'Charge')
CSPyramidAndTemple | 175 Gems (baskets) | HasAny('Double Jump', 'Charge', 'Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath')
CSPyramidAndTemple | 33 Gems (on the ground) | True_()
CSPyramidAndTemple | 125 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
CSPyramidAndTemple | 260 Gems ([enemy] normal and boomerang crocoviles/critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSPyramidAndTemple | 30 Gems (headbash chest) | Has('Double Jump')
CSPyramidAndTemple | 91 Gems ([enemy] red and yellow plants) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CSPyramidAndTemple | 75 Gems (baskets behind chargeable wall with switch) | Has('Charge')
CSPyramidAndTemple | 75 Gems ([enemy] normal crocoviles on pyramid) | Has('Double Jump')
CSPyramidAndTemple | 1000 Gems (armored chests on pyramid vs cannon) | HasAll('Double Jump', 'Glide')
CSPyramidAndTemple | 2550 Gems (armored chests and metal chests via supercharge) | SuperchargeGadget()
CSWest | 205 Gems (on the ground/baskets/headbash chest) | True_()
CSWest | 30 Gems ([enemy] red and yellow plants) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CSWest | 500 Gems (armored chest via firework) | Has('Fire Breath')
CSInsideTemple | 50 Gems ([enemy] normal crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSInsideTemple | 80 Gems (metal chests and headbash chest behind guarded gate) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSInsideTemple | 40 Gems ([enemy] unarmored huge gnorcs in cave) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CSInsideTempleElectric | 175 Gems (baskets/metal chests) | True_()
CSInsideTempleElectric | 70 Gems ([enemy] normal and boomerang crocoviles) | True_()
CSEast | 20 Gems ([enemy] boomerang crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSEast | 50 Gems (metal chests) | HasAny('Double Jump', 'Charge', 'Electric Breath')
CSEast | 80 Gems (baskets and headbash chest on muddy platform) | HasAll('Double Jump', 'Glide')
CSEast | 25 Gems ([enemy] normal crocovile above pole spin) | And(HasAny('Fire Breath', 'Electric Breath', 'Charge'), Has('Pole Spin'))
CSEastPoles | 50 Gems ([enemy] normal crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSEastPoles | 25 Gems (metal chest) | True_()
CSTree | 25 Gems ([enemy] normal crocovile past sinking platforms) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
