DVEntry | 150 Gems (chargeable wall near Elder) | Has('Charge')
DVEntry | 300 Gems (dark shards) | HasAny('Charge', 'Double Jump')
DVEntry | 100 Gems (metal chests) | HasAny('Electric Breath', 'Charge', 'Double Jump')
DVEntry | 175 Gems (baskets) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge', 'Double Jump')
DVEntry | 336 Gems (on the ground) | True_()
DVDoubleJump | 500 Gems (armored chest via firework across the Crocovile bridge) | Has('Fire Breath')
DVDoubleJump | 20 Gems (huge armored gnorc above DJ ledge) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DVDoubleJump | 20 Gems (huge unarmored gnorc during Hunter glide tutorial) | Or(Has('Fire Breath'), Has('Electric Breath'), HasAll('Ice Breath', 'Charge'))
DVDoubleJump | 755 Gems (Byrd minigames) | True_()
DVDoubleJump | 897 Gems (immediates) | True_()
DVGlide | 1000 Gems (armored chests) | Has('Fire Breath')
DVGlide | 60 Gems (armored enemies) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DVGlide | 40 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DVGlide | 20 Gems (unarmored middle gnorc) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DVGlide | 550 Gems (immediates using glide) | True_()
DVCharge | 310 Gems (immediates using charge) | True_()
DVCharge | 40 Gems (2 gnorc archers) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DVCharge | 500 Gems (armored chest in Byrd area) | HasAll('Fire Breath', 'Glide')
CSEntry | 100 Gems (chargeable gates/walls) | Has('Charge')
CSEntry | 2550 Gems (using supercharge) | SuperchargeGadget()
CSEntry | 245 Gems (crocoviles in Electric gate of temple) | Has('Electric Breath')
CSEntry | 500 Gems (armored chest in area west of pyramid) | Has('Fire Breath')
CSEntry | 161 Gems (plants & huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CSEntry | 370 Gems (Crocoviles and Critters) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSEntry | 1000 Gems (armored chests on the pyramid) | Has('Glide')
CSEntry | 1806 Gems (Blink minigames) | True_()
CSEntry | 953 Gems (Immediates) | True_()
CSPoleSpin | 500 Gems (armored chest from firework at top of Elder tree) | Has('Fire Breath')
CSPoleSpin | 100 Gems (crocoviles) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CSPoleSpin | 260 Gems (immediates) | True_()
CSPoleSpin | 500 Gems (armored chest from firework in middle of Elder tree) | And(Has('Fire Breath'), HasAny('Charge', 'Glide'))
DFEntry | 1149 Gems (immediates behind chargeable walls) | Has('Charge')
DFEntry | 75 Gems (3 goats) | HasAny('Fire Breath', 'Electric Breath')
DFEntry | 100 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFEntry | 55 Gems (plant + huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DFEntry | 395 Gems (crocoviles + shepherd) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFEntry | 3856 Gems (immediates in ball gadget and as Spyro & Hunter) | True_()
DFEntry | 1523 Gems (Sparx minigames) | True_()
DFEntry | 100 Gems (underwater vases in piranha lake) | HasAll('Swim', 'Charge')
DFLGDoor | 40 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
DFLGDoor | 60 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
DFLGDoor | 75 Gems (blue monkeys) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
DFLGDoor | 476 Gems (immediates) | True_()
CREntry | 200 Gems (Headbash crates) | Has('Double Jump')
CREntry | 275 Gems (metal crates) | HasAny('Electric Breath', 'Charge', 'Double Jump')
CREntry | 175 Gems (blue crabs) | Or(Has('Electric Breath'), And(Has('Charge'), HasAny('Ice Breath', 'Double Jump')))
CREntry | 60 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CREntry | 20 Gems (huge unarmored gnorc near Otto's pool) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CREntry | 590 Gems (various small/middle enemies) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CREntry | 750 Gems (baskets) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge', 'Double Jump')
CREntry | 722 Gems (on ground) | True_()
CREntry | 650 Gems (underwater stuff including stuff in Otto's Pool) | HasAll('Swim', 'Charge') 
CRDoubleJump | 50 Gems (pygmies) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRDoubleJump | 20 Gems (huge unarmored gnorc in pole spin area by dark gem) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CRDoubleJump | 673 Gems (immediates mostly around piranha pool and windmill area) | True_()
CRLGDoor | 50 Gems (headbash crates) | Has('Double Jump')
CRLGDoor | 50 Gems (metal crates) | HasAny('Electric Breath', 'Charge', 'Double Jump')
CRLGDoor | 20 Gems (huge armored gnorcs) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRLGDoor | 40 Gems (middle enemies) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRLGDoor | 125 Gems (baskets) | HasAny('Fire Breath', 'Electric Breath', 'Water Breath', 'Ice Breath', 'Charge', 'Double Jump')
CRLGDoor | 239 Gems (on ground) | True_()
CRLGDoor | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRLGDoor | 40 Gems (gnorc archers up high) | And(Has('Double Jump'), HasAny('Fire Breath', 'Electric Breath', 'Charge'))
CRLGDoor | 125 Gems (immediates up high) | Has('Double Jump')
CRGlide | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRGlide | 2070 Gems (immediates) | True_()
CRGlide | 20 Gems (huge gnorc after Electric platform near cloudy domain) | HasAll('Electric Breath', 'Charge')
CRGlide | 493 Gems (immediates after electric platform near cloudy domain) | Has('Electric Breath')
CRGlide | 1050 Gems (pole spin area stuff by the egg) | Has('Pole Spin')
CRPoleSpin | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CRPoleSpin | 40 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CRPoleSpin | 200 Gems (gnorc archers + pygmies) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CRPoleSpin | 1499 Gems (immediates and stuff in otto's pool once filled) | True_()
CRPoleSpin | 2165 Gems (Blink minigames) | True_()
CRPoleSpin | 275 Gems (underwater near sunken ruins entrance) | HasAll('Swim', 'Charge')
CRWateryTomb | 100 Gems (orange crabs on the way to Ineptune) | HasAny('Fire Breath', 'Electric Breath', 'Charge')
CDEntry | 125 Gems (flying gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDEntry | 20 Gems (middle armored gnorc) | Has('Charge')
CDEntry | 80 Gems (huge unarmored gnorcs) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDEntry | 507 Gems (immediates) | True_()
CDCharge | 500 Gems (armored chest before light gem) | Has('Fire Breath')
CDCharge | 125 Gems (flying gnorcs) | HasAny('Fire Breath', 'Electric Breath')
CDCharge | 20 Gems (huge armored gnorc) | And(Has('Charge'), HasAny('Fire Breath', 'Electric Breath', 'Ice Breath'))
CDCharge | 20 Gems (huge unarmored gnorc) | Or(HasAny('Fire Breath', 'Electric Breath'), HasAll('Ice Breath', 'Charge'))
CDCharge | 730 Gems (immediates) | True_()
CDCharge | 1575 Gems (supercharge stuff ) | SuperchargeGadget()
CDWingShield | 475 Gems (flying gnorcs) | HasAny('Fire Breath', 'Electric Breath')
